huc8,name,areaacres,states,region,et_ssebop,et_fano,etr,precip,rf,et_wb,et_ssebop_filter,et_fano_filter,et_wb_filter
1060003,Piscataqua-Salmon Falls,1105883.52,"MA,ME,NH",Northeast,762.0935829,816.8716773,1153.13993,nan,633.2,nan,762.0935829,816.8716773,nan
1070006,Merrimack River,1152254.43,"MA,NH",Northeast,720.7171524,764.2570799,1136.12059,1431.546591,0,1431.546591,720.7171524,764.2570799,nan
9020311,Middle Red,1575944.88,"CN,MN,ND",Midwest,513.9145731,425.2566748,966.2548729,nan,215.3855263,nan,513.9145731,425.2566748,nan
1050002,Maine Coastal,3083382.5,ME,Northeast,689.9890759,775.7758528,1044.464605,nan,947.9661728,nan,689.9890759,775.7758528,nan
1050003,St. George-Sheepscot,876271.98,ME,Northeast,728.7309042,764.6934162,1060.071561,nan,871.7,nan,728.7309042,764.6934162,nan
1060001,Presumpscot,911390.01,ME,Northeast,680.171493,759.7125789,1095.69429,nan,943.3,nan,680.171493,759.7125789,nan
7010207,Rum,1014368.11,MN,Midwest,680.8287036,656.8751342,1029.192079,926.48545,374.4,nan,680.8287036,656.8751342,nan
7010201,Platte-Spunk,656031.9,MN,Midwest,611.11683,614.9213539,1070.405694,857.4380857,243,614.4380857,611.11683,614.9213539,614.4380857
7030004,Snake,644050.2,MN,Midwest,613.0169279,614.60777,1006.991607,856.4419902,428.8795322,nan,613.0169279,614.60777,nan
7010206,Twin Cities,644770.1,MN,Midwest,614.2846956,565.8269845,1082.795558,928.7664925,317.6678161,611.0986764,614.2846956,565.8269845,611.0986764
7010202,Sauk,667403.09,MN,Midwest,579.3777716,571.6871399,1066.80657,874.0120246,379.5,nan,579.3777716,571.6871399,nan
10060001,Prairie Elk-Wolf,1295906.4,MT,Great Plains,418.2567577,363.4320802,1231.953398,542.9459214,90.4,452.5459214,418.2567577,363.4320802,452.5459214
10060002,Redwater,1353606.49,MT,Great Plains,460.5222218,378.9467472,1320.344048,585.2989786,19,566.2989786,460.5222218,378.9467472,566.2989786
10040104,Fort Peck Reservoir,3360596.81,MT,Great Plains,398.8052263,422.0929074,1355.081659,530.5349015,75.65058201,454.8843194,398.8052263,422.0929074,454.8843194
10050012,Lower Milk,963167.31,MT,Great Plains,356.132471,313.4187267,1240.072959,532.0756214,55.1,476.9756214,356.132471,313.4187267,476.9756214
10050009,Peoples,454656.91,MT,Great Plains,397.1824537,438.5230632,1290.291055,499.4576018,105.3,394.1576018,397.1824537,438.5230632,394.1576018
10030203,Marias,2363839.91,MT,Great Plains,341.2074757,264.7492021,1309.709437,341.8086441,74.8,267.0086441,341.2074757,264.7492021,267.0086441
10070003,Shields,546571.6,MT,Great Plains,378.6379696,416.9060618,1118.693939,664.2738688,209.7,454.5738688,378.6379696,416.9060618,454.5738688
10020005,Jefferson,831916.25,MT,Great Plains,347.1553377,370.1918908,1127.174602,451.1021007,149.9415179,301.1605829,347.1553377,370.1918908,301.1605829
10070008,Pryor,390831.06,MT,Great Plains,432.3508991,438.3852341,1367.881817,601.7353887,154.9,446.8353887,432.3508991,438.3852341,446.8353887
