huc8,name,areaacres,states,region,et_ssebop,et_fano,etr,precip,rf,et_wb,et_ssebop_filter,et_fano_filter,et_wb_filter
1060003,Piscataqua-Salmon Falls,1105883.52,"MA,ME,NH",Northeast,863.2112831,848.9056916,1156.209002,nan,397.7,nan,863.2112831,848.9056916,nan
1070006,Merrimack River,1152254.43,"MA,NH",Northeast,781.5537391,816.2046029,1139.104708,891.1005435,0,891.1005435,781.5537391,816.2046029,891.1005435
9020311,Middle Red,1575944.88,"CN,MN,ND",Midwest,575.1894177,469.8396447,969.3828074,nan,140.8589912,nan,575.1894177,469.8396447,nan
1050002,Maine Coastal,3083382.5,ME,Northeast,737.9796704,817.960709,1047.267133,nan,760.2818519,nan,737.9796704,817.960709,nan
1050003,St. George-Sheepscot,876271.98,ME,Northeast,718.6079198,816.9892919,1062.930822,nan,593,nan,718.6079198,816.9892919,nan
1060001,Presumpscot,911390.01,ME,Northeast,767.1040087,810.8025527,1098.61029,nan,595.8,nan,767.1040087,810.8025527,nan
7010207,Rum,1014368.11,MN,Midwest,740.5286117,707.8579163,1032.331207,968.4892289,238,730.4892289,740.5286117,707.8579163,730.4892289
7010201,Platte-Spunk,656031.9,MN,Midwest,752.230897,664.9867629,1073.573126,940.545812,186.9,753.645812,752.230897,664.9867629,753.645812
7030004,Snake,644050.2,MN,Midwest,700.163236,692.8103796,1010.099532,1078.422205,375.0935673,703.3286376,700.163236,692.8103796,703.3286376
7010206,Twin Cities,644770.1,MN,Midwest,681.804945,636.4044974,1086.065312,1132.905578,254.3252874,878.5802909,681.804945,636.4044974,878.5802909
7010202,Sauk,667403.09,MN,Midwest,710.0573451,640.5807407,1069.962239,843.233573,149.4,693.833573,710.0573451,640.5807407,693.833573
10060001,Prairie Elk-Wolf,1295906.4,MT,Great Plains,497.3012129,395.1433536,1235.678898,503.4086717,32.5,470.9086717,497.3012129,395.1433536,470.9086717
10060002,Redwater,1353606.49,MT,Great Plains,462.7665131,380.3015313,1324.574873,484.3161087,3.1,481.2161087,462.7665131,380.3015313,481.2161087
10040104,Fort Peck Reservoir,3360596.81,MT,Great Plains,513.5596626,473.1852535,1359.297402,507.374732,27.00518519,480.3695468,nan,473.1852535,480.3695468
10050012,Lower Milk,963167.31,MT,Great Plains,452.7780451,357.7679288,1243.931217,532.2794924,11.5,520.7794924,452.7780451,357.7679288,520.7794924
10050009,Peoples,454656.91,MT,Great Plains,607.8670371,524.2282854,1294.269606,556.5653548,26.5,530.0653548,nan,524.2282854,530.0653548
10030203,Marias,2363839.91,MT,Great Plains,436.6147187,316.6431854,1313.746651,360.3648022,33.6,326.7648022,nan,316.6431854,326.7648022
10070003,Shields,546571.6,MT,Great Plains,477.3122117,491.5052182,1122.062942,580.1036479,80.6,499.5036479,477.3122117,491.5052182,499.5036479
10020005,Jefferson,831916.25,MT,Great Plains,390.0996668,415.9180654,1130.386191,422.8366271,62.32991071,360.5067164,390.0996668,415.9180654,360.5067164
10070008,Pryor,390831.06,MT,Great Plains,477.6170331,461.28626,1372.343558,387.5707152,22.6,364.9707152,nan,nan,364.9707152
2020001,Upper Hudson,1064814.27,NY,Northeast,601.1368971,726.217211,934.7622537,1039.075843,517.9,nan,601.1368971,726.217211,nan
4150305,Raquette,806047.72,NY,Northeast,552.3374485,677.70388,883.3492269,1042.592655,576.3,nan,552.3374485,677.70388,nan
4150101,Black,1220444.82,NY,Midwest,599.8721467,672.3345281,894.3936122,1136.90404,728.6899687,nan,599.8721467,672.3345281,nan
4150102,Chaumont-Perch,203232.68,NY,Midwest,627.1991685,615.5115776,966.8630004,901.5523648,729.3,nan,627.1991685,615.5115776,nan
10130105,Lower Lake Oahe,2453135.36,SD,Great Plains,682.8801295,541.63689,1302.107038,517.0808927,29.5,487.5808927,nan,nan,487.5808927
4150403,Winooski River,680464.23,VT,Northeast,621.8623355,686.9371169,911.5051813,1045.990181,0,1045.990181,621.8623355,686.9371169,nan
4150402,Otter Creek,603618.07,VT,Northeast,679.763835,743.3379438,1029.879714,998.8875808,3.196273292,995.6913075,679.763835,743.3379438,995.6913075
17110011,Snohomish,189946.58,WA,Pacific Northwest,652.1516688,622.1831931,827.2930716,1721.698464,1529.127778,nan,652.1516688,622.1831931,nan
17110019,Puget Sound,1569922.24,WA,Pacific Northwest,688.2916708,676.1700881,906.6995764,nan,496.2159453,nan,688.2916708,676.1700881,nan
17110012,Lake Washington,388533.47,WA,Pacific Northwest,655.2076696,636.0177219,890.2477181,1663.258691,1668.6,nan,655.2076696,636.0177219,nan
