huc8,name,areaacres,states,region,et_ssebop,et_fano,etr,precip,rf,et_wb,et_ssebop_filter,et_fano_filter,et_wb_filter
1060003,Piscataqua-Salmon Falls,1105883.52,"MA,ME,NH",Northeast,823.2241931,838.3954398,1153.13993,nan,555,nan,823.2241931,838.3954398,nan
1070006,Merrimack River,1152254.43,"MA,NH",Northeast,773.9415972,819.7186063,1136.12059,1353.261048,0,1353.261048,773.9415972,819.7186063,nan
9020311,Middle Red,1575944.88,"CN,MN,ND",Midwest,452.05455,428.3686997,966.2548729,nan,51.60065789,nan,452.05455,428.3686997,nan
1050002,Maine Coastal,3083382.5,ME,Northeast,797.0124888,829.6456579,1044.464605,nan,733.2455556,nan,797.0124888,829.6456579,nan
1050003,St. George-Sheepscot,876271.98,ME,Northeast,663.1519649,806.159206,1060.071561,nan,601.3,nan,663.1519649,806.159206,nan
1060001,Presumpscot,911390.01,ME,Northeast,753.9265992,791.6744831,1095.69429,nan,472.1,nan,753.9265992,791.6744831,nan
7010207,Rum,1014368.11,MN,Midwest,675.6395036,672.6641889,1029.192079,836.098556,273.6,562.498556,675.6395036,672.6641889,562.498556
7010201,Platte-Spunk,656031.9,MN,Midwest,669.4532005,642.6767976,1070.405694,747.3672777,183.2,564.1672777,669.4532005,642.6767976,564.1672777
7030004,Snake,644050.2,MN,Midwest,638.2788615,659.1727179,1006.991607,966.6081964,408.605848,nan,638.2788615,659.1727179,nan
7010206,Twin Cities,644770.1,MN,Midwest,661.404265,610.8522472,1082.795558,869.6997035,194.3850575,675.3146461,661.404265,610.8522472,675.3146461
7010202,Sauk,667403.09,MN,Midwest,638.7067052,597.5276127,1066.80657,722.4191432,195.6,526.8191432,638.7067052,597.5276127,526.8191432
10060001,Prairie Elk-Wolf,1295906.4,MT,Great Plains,345.0824941,343.697948,1231.953398,315.7238469,52.5,263.2238469,nan,nan,263.2238469
10060002,Redwater,1353606.49,MT,Great Plains,389.071128,377.2571099,1320.344048,387.667488,27.6,360.067488,nan,377.2571099,360.067488
10040104,Fort Peck Reservoir,3360596.81,MT,Great Plains,399.2267037,428.8503915,1355.081659,415.5846854,46.49396825,369.0907172,399.2267037,nan,369.0907172
10050012,Lower Milk,963167.31,MT,Great Plains,299.2258203,263.6033484,1240.072959,336.1064057,14.9,321.2064057,299.2258203,263.6033484,321.2064057
10050009,Peoples,454656.91,MT,Great Plains,384.9763095,418.3783741,1290.291055,394.3695028,31.4,362.9695028,384.9763095,nan,362.9695028
10030203,Marias,2363839.91,MT,Great Plains,397.4972213,284.149202,1309.709437,378.7512904,73.2,305.5512904,nan,284.149202,305.5512904
10070003,Shields,546571.6,MT,Great Plains,484.6656087,503.4761291,1118.693939,753.9805811,328.3,nan,484.6656087,503.4761291,nan
10020005,Jefferson,831916.25,MT,Great Plains,396.7479453,439.9217357,1127.174602,494.9706063,139.7120536,355.2585527,396.7479453,439.9217357,355.2585527
10070008,Pryor,390831.06,MT,Great Plains,570.4049214,560.2335373,1367.881817,575.1022767,157.2,417.9022767,570.4049214,560.2335373,417.9022767
2020001,Upper Hudson,1064814.27,NY,Northeast,651.3115568,710.4907435,932.2462735,1068.545216,561.8,nan,651.3115568,710.4907435,nan
4150305,Raquette,806047.72,NY,Northeast,569.122901,658.2145163,881.1148792,1101.482542,685.4,nan,569.122901,658.2145163,nan
4150101,Black,1220444.82,NY,Midwest,619.2634533,651.5192297,891.8772514,1297.972049,855.4288401,nan,619.2634533,651.5192297,nan
4150102,Chaumont-Perch,203232.68,NY,Midwest,665.4816787,635.1461484,964.1386824,1157.960666,855.4,nan,665.4816787,635.1461484,nan
10130105,Lower Lake Oahe,2453135.36,SD,Great Plains,564.356105,525.8792598,1297.554207,470.2051204,50.1,420.1051204,nan,nan,420.1051204
4150403,Winooski River,680464.23,VT,Northeast,675.7613689,686.4255987,909.0737536,1083.773212,0,1083.773212,675.7613689,686.4255987,nan
4150402,Otter Creek,603618.07,VT,Northeast,727.4679743,742.2279442,1027.030579,1068.398935,3.886335404,1064.5126,727.4679743,742.2279442,nan
17110011,Snohomish,189946.58,WA,Pacific Northwest,613.2672321,612.1421264,825.271597,1782.759958,1645.018519,nan,613.2672321,612.1421264,nan
17110019,Puget Sound,1569922.24,WA,Pacific Northwest,677.0525295,667.2255293,904.5833044,nan,387.5034169,nan,677.0525295,667.2255293,nan
17110012,Lake Washington,388533.47,WA,Pacific Northwest,646.2959322,633.3004727,888.0496526,1556.291816,1711.4,nan,646.2959322,633.3004727,nan
17110010,Snoqualmie,442008.91,WA,Pacific Northwest,672.8188903,708.910041,842.8600489,2842.016761,2452,nan,672.8188903,708.910041,nan
17110009,Skykomish,532878.12,WA,Pacific Northwest,652.4936815,698.6529399,850.2397553,3053.050726,2634.6,nan,652.4936815,698.6529399,nan
